Datetime,Water Level (m)
2023-12-15 00:00:00,0.0151654985
2023-12-15 01:00:00,0.17285256
2023-12-15 02:00:00,0.2553103
2023-12-15 03:00:00,0.29242057
2023-12-15 04:00:00,0.35244834
2023-12-15 05:00:00,0.37071025
2023-12-15 06:00:00,0.32670447
2023-12-15 07:00:00,0.28920335
2023-12-15 08:00:00,0.2646452
2023-12-15 09:00:00,0.22854602
2023-12-15 10:00:00,0.1849855
2023-12-15 11:00:00,0.14213295
2023-12-15 12:00:00,0.11754421
2023-12-15 13:00:00,0.1788074
2023-12-15 14:00:00,0.30950397
2023-12-15 15:00:00,0.38867122
2023-12-15 16:00:00,0.38626269
2023-12-15 17:00:00,0.34610355
2023-12-15 18:00:00,0.31557977
2023-12-15 19:00:00,0.30256057
2023-12-15 20:00:00,0.2748798
2023-12-15 21:00:00,0.23332454
2023-12-15 22:00:00,0.19208725
2023-12-15 23:00:00,0.15580717
2023-12-16 00:00:00,0.15523209
2023-12-16 01:00:00,0.27703586
2023-12-16 02:00:00,0.42191932
2023-12-16 03:00:00,0.49239203
2023-12-16 04:00:00,0.53052807
2023-12-16 05:00:00,0.5712425
2023-12-16 06:00:00,0.5513822
2023-12-16 07:00:00,0.5041236
2023-12-16 08:00:00,0.47131342
2023-12-16 09:00:00,0.43401706
2023-12-16 10:00:00,0.3873063
2023-12-16 11:00:00,0.33842045
2023-12-16 12:00:00,0.29408297
2023-12-16 13:00:00,0.27623093
2023-12-16 14:00:00,0.34241822
2023-12-16 15:00:00,0.4593716
2023-12-16 16:00:00,0.52226347
2023-12-16 17:00:00,0.5036551
2023-12-16 18:00:00,0.44715175
2023-12-16 19:00:00,0.42292053
2023-12-16 20:00:00,0.4062514
2023-12-16 21:00:00,0.36877725
2023-12-16 22:00:00,0.32418942
2023-12-16 23:00:00,0.28114665
2023-12-17 00:00:00,0.24499351
2023-12-17 01:00:00,0.25904724
2023-12-17 02:00:00,0.3883871
2023-12-17 03:00:00,0.5216684
2023-12-17 04:00:00,0.58035123
2023-12-17 05:00:00,0.6109617
2023-12-17 06:00:00,0.6262656
2023-12-17 07:00:00,0.5882606
2023-12-17 08:00:00,0.54930615
2023-12-17 09:00:00,0.5158498
2023-12-17 10:00:00,0.4710249
2023-12-17 11:00:00,0.42043862
2023-12-17 12:00:00,0.37008557
2023-12-17 13:00:00,0.32648343
2023-12-17 14:00:00,0.31495515
2023-12-17 15:00:00,0.3845607
2023-12-17 16:00:00,0.49806952
2023-12-17 17:00:00,0.5553377
2023-12-17 18:00:00,0.5321418
2023-12-17 19:00:00,0.47645158
2023-12-17 20:00:00,0.45270178
2023-12-17 21:00:00,0.43360955
2023-12-17 22:00:00,0.39461163
2023-12-17 23:00:00,0.34913775
2023-12-18 00:00:00,0.30657765
2023-12-18 01:00:00,0.27309167
2023-12-18 02:00:00,0.29898608
2023-12-18 03:00:00,0.42454886
2023-12-18 04:00:00,0.5463038
2023-12-18 05:00:00,0.59649944
2023-12-18 06:00:00,0.61815166
2023-12-18 07:00:00,0.6139139
2023-12-18 08:00:00,0.57302296
2023-12-18 09:00:00,0.53873557
2023-12-18 10:00:00,0.5023434
2023-12-18 11:00:00,0.45494127
2023-12-18 12:00:00,0.40488395
2023-12-18 13:00:00,0.3567053
2023-12-18 14:00:00,0.3164008
2023-12-18 15:00:00,0.3114539
2023-12-18 16:00:00,0.38466126
2023-12-18 17:00:00,0.49528584
2023-12-18 18:00:00,0.54774475
2023-12-18 19:00:00,0.52398133
2023-12-18 20:00:00,0.47154376
2023-12-18 21:00:00,0.44750226
2023-12-18 22:00:00,0.42740464
2023-12-18 23:00:00,0.38876674
2023-12-19 00:00:00,0.34396863
2023-12-19 01:00:00,0.3021483
2023-12-19 02:00:00,0.2697317
2023-12-19 03:00:00,0.28952658
2023-12-19 04:00:00,0.39488193
2023-12-19 05:00:00,0.5098462
2023-12-19 06:00:00,0.5581262
2023-12-19 07:00:00,0.56177455
2023-12-19 08:00:00,0.53579855
2023-12-19 09:00:00,0.5011069
2023-12-19 10:00:00,0.47412273
2023-12-19 11:00:00,0.43628317
2023-12-19 12:00:00,0.3890116
2023-12-19 13:00:00,0.34217975
2023-12-19 14:00:00,0.29882225
2023-12-19 15:00:00,0.26122084
2023-12-19 16:00:00,0.25819394
2023-12-19 17:00:00,0.32871807
2023-12-19 18:00:00,0.4407607
2023-12-19 19:00:00,0.5000488
2023-12-19 20:00:00,0.4898616
2023-12-19 21:00:00,0.4424537
2023-12-19 22:00:00,0.4162794
2023-12-19 23:00:00,0.39906782
2023-12-20 00:00:00,0.36403403
2023-12-20 01:00:00,0.32121098
2023-12-20 02:00:00,0.27969426
2023-12-20 03:00:00,0.24548513
2023-12-20 04:00:00,0.24800071
2023-12-20 05:00:00,0.32245356
2023-12-20 06:00:00,0.43463388
2023-12-20 07:00:00,0.49441758
2023-12-20 08:00:00,0.49269542
2023-12-20 09:00:00,0.45685142
2023-12-20 10:00:00,0.42831048
2023-12-20 11:00:00,0.40859672
2023-12-20 12:00:00,0.3748592
2023-12-20 13:00:00,0.33194607
2023-12-20 14:00:00,0.28880006
2023-12-20 15:00:00,0.2481481
2023-12-20 16:00:00,0.21437047
2023-12-20 17:00:00,0.22095598
2023-12-20 18:00:00,0.30845264
2023-12-20 19:00:00,0.42674547
2023-12-20 20:00:00,0.48631182
2023-12-20 21:00:00,0.49498376
2023-12-20 22:00:00,0.4768048
2023-12-20 23:00:00,0.44317046
2023-12-21 00:00:00,0.4194979
